season,gender,castaway,inspo,inspo,inspo,inspo,inspo,inspo,inspo
,,Sara,Kim Spradlin-Wolfe,,,,,,
,,Sydney ,Natalie White,,,,,,
,,Tiffany,Ozzy Lusth,Colby Donaldson,Parvati Shallow,,,,
,,Shan,Kim Spradlin-Wolfe,Parvati Shallow,Tai Trang,,,,
,,Liana,Tony Vlachos,Elaine Stott,,,,,
,,Heather,Rick Devens,Tina Wesson,Lisa Whelchel,Chrissy Hofbeck,,,
,,Erika,Todd Herzog,Brenda Lowe,,,,,
,,Evvie,Todd Herzog,Natalie Anderson,,,,,
Season 42,,,,,,,,,
,Men,,,,,,,,
,,Jackson,Elaine Stott,,,,,,
,,Zach,Todd Herzog,Jeremy Collins,,,,,
,,Daniel,Todd Herzog,Yul Kwon,Fabio Birza,,,,
,,Rocksroy,John Cochran,,,,,,
,,Hai,Parvati Shallow,Aubry Bracco,,,,,
,,Omar,Cirie Fields,Kim Spradlin-Wolfe,Natalie Anderson,Tyson Apostol,Rob Cesternino,,
,,Jonathan,Ozzy Lusth,,,,,,
,,Mike,Rob Mariano,,,,,,
,Women,,,,,,,,
,,Marya,Tony Vlachos,Angelina Keeley,,,,,
,,Jenny,Kelley Wentworth,Lauren Beck,,,,,
,,Swati,Victoria Baamonde,Kass McQuillen,,,,,
,,Lydia,Tom Westman,Cirie Fields,Debbie Wanner,,,,
,,Chanelle,Kim Spradlin-Wolfe,,,,,,
,,Tori,Kim Spradlin-Wolfe,,,,,,
,,Drea,Kelley Wentworth,,,,,,
,,Lindsay,Lauren Beck,,,,,,
,,Maryanne,Davie Rickenbacker,,,,,,
